Title	IMDB	Budget	 Dom  Box  Office 	 Intl  Box  Office 	Score	Year	Writers	Directors	Producers	 Female  Character  Percentage 	 Female  Talk  Percentage 	 Female  Writer  Percentage 	 Female  Director  Percentage 	 Female  Producer  Percentage 	 Overall  Female  Production  Percentage 
 The  Evil  Dead 	83907	-6	-4	76293914.01	1	1981				-6	-7	-8	-5	-5	-5
 Fast  Times  at  Ridgemont  High 	83929	-6	-4	66228276.31	2	1982				-6	-7	-8	-5	-5	-5
 First  Blood 	83944	-6	-4	306081703.5	0	1982				-6	-7	-8	-5	-5	-5
 Friday  the  13th  Part  III 	83972	-6	-4	89688505.55	3	1982				-6	-7	-8	-5	-5	-5
Poltergeist	84516	-6	-4	297509157.2	3	1982				-6	-7	-8	-5	-5	-5
Porky&#39;s	84522	-6	-4	267653292.1	2	1982				-6	-7	-8	-5	-5	-5
 Star  Trek:  The  Wrath  of  Khan 	84726	-6	-4	236626641.2	3	1982				-6	-7	-8	-5	-5	-5
Tootsie	84805	-6	-4	433163644.2	1	1982				-6	-7	-8	-5	-5	-5
TRON	84827	-6	-4	65802192.18	0	1982				-6	-7	-8	-5	-5	-5
Flashdance	85549	-6	-4	477392302.8	3	1983				-6	-7	-8	-5	-5	-5
 Star  Wars:  Episode  VI  -  Return  of  the  Jedi 	86190	-6	-4	1357081912	0	1983				-6	-7	-8	-5	-5	-5
 Superman  III 	86393	-6	-4	142060251.2	3	1983				-6	-7	-8	-5	-5	-5
Videodrome	86541	-6	-4	5024636.844	2	1983				-6	-7	-8	-5	-5	-5
WarGames	86567	-6	-4	176379978.7	1	1983				-6	-7	-8	-5	-5	-5
Amadeus	86879	-6	-4	118001804.3	3	1984				-6	-7	-8	-5	-5	-5
 Beverly  Hills  Cop 	86960	-6	-4	718141149.7	0	1984				-6	-7	-8	-5	-5	-5
 Body  Double 	86984	-6	-4	19984304.21	2	1984				-6	-7	-8	-5	-5	-5
 Conan  the  Destroyer 	87078	-6	-4	59939697.85	3	1984				-6	-7	-8	-5	-5	-5
Dune	87182	-6	-4	62317920.55	3	1984				-6	-7	-8	-5	-5	-5
