Title	IMDB	Budget	Dom Box Office	Intl Box Office	Score	Year	Writers	Directors	Producers	Female Char %	Female Talk %	Female Writer %	Female Director %	Female Producer %	Overall Female Production %	Genre
 The Ballad of Jack and Rose 	357110	-6	-4	1191782	3	2005	" [['Rebecca Miller', 'f']] "	" [['Rebecca Miller', 'f']] "	" [['Caroline Kaplan', 'f'], ['Graham King', 'm'], ['Melissa Marr', 'f'], ['Jonathan Sehring', 'm'], ['Lemore Syvan', 'NULL']] "	-1.5	-1.5	1	1	0.4	0.571428571	&&&&
 The Constant Gardener 	387131	31009704.42	40835278.84	104948512.8	3	2005	" [['Jeffrey Caine', 'm'], ['John le Carre', 'm']] "	" [['Fernando Meirelles', 'm']] "	" [['Jeff Abberley', 'm'], ['Julia Blackman', 'f'], ['Simon Channing Williams', 'm'], ['Gail Egan', 'NULL'], ['Robert Jones', 'm'], ['Henning Molfenter', 'm'], ['Thierry Potok', 'NULL'], ['Donald Ranvaud', 'm'], ['Tracey Seaward', 'f']] "	-1.5	-1.5	0	0	0.222222222	0.166666667	Drama
 The Exorcism of Emily Rose 	404032	21889203.12	91293121.91	175757019.2	3	2005	" [['Paul Harris Boardman', 'm'], ['Scott Derrickson', 'm']] "	" [['Scott Derrickson', 'm']] "	" [['Paul Harris Boardman', 'm'], ['Beau Flynn', 'm'], ['Andre Lamal', 'm'], ['Gary Lucchesi', 'm'], ['David McIlvain', 'm'], ['Terry McKay', 'NULL'], ['Tom Rosenberg', 'm'], ['Tripp Vinson', 'm'], ['Julie Yorn', 'f']] "	-1.5	-1.5	0	0	0.111111111	0.083333333	Horror
 The Legend of Zorro 	386140	97285347.2	55422654.83	172043464.8	1	2005	" [['Roberto Orci', 'm'], ['Alex Kurtzman', 'm'], ['Ted Elliott', 'm'], ['Terry Rossio', 'm']] "	" [['Martin Campbell', 'm']] "	" [['Gary Barber', 'm'], ['Roger Birnbaum', 'm'], ['John Gertz', 'm'], ['Marc Haimes', 'm'], ['Amy Lescoe', 'f'], ['Laurie MacDonald', 'f'], ['Walter F. Parkes', 'm'], ['Lloyd Phillips', 'm'], ['Steven Spielberg', 'm']] "	-1.5	-1.5	0	0	0.222222222	0.142857143	Adventure
 The Longest Yard 	398165	99717480.88	192283832.1	231442531.7	1	2005	" [['Albert S. Ruddy', 'm'], ['Tracy Keenan Wynn', 'm'], ['Sheldon Turner', 'm']] "	" [['Peter Segal', 'm']] "	" [['Barry Bernardi', 'm'], ['Allen Covert', 'm'], ['Michael Ewing', 'm'], ['David Gale', 'm'], ['Jack Giarraputo', 'm'], ['Tim Herlihy', 'm'], ['Heather Parry', 'f'], ['Albert S. Ruddy', 'm'], ['Adam Sandler', 'm'], ['Van Toffler', 'm']] "	-1.5	-1.5	0	0	0.1	0.071428571	Comedy
 The Mostly Unfabulous Social Life of Ethan Green 	424287	-6	-4	199212	3	2005	" [['Eric Orner', 'm'], ['David Vernon', 'm']] "	" [['George Bamber', 'm']] "	" [['Tod Abrams', 'm'], ['Steve Brooksbank', 'm'], ['Paul Coyne', 'm'], ['Todd Y. Murata', 'm']] "	-1.5	-1.5	0	0	0	0	&&&&
 The New World 	402399	36482005.2	15458754.76	31841980.57	3	2005	" [['Terrence Malick', 'm']] "	" [['Terrence Malick', 'm']] "	" [['Toby Emmerich', 'm'], ['Sarah Green', 'f'], ['Trish Hofmann', 'f'], ['Peter La Terriere', 'm'], ['Bill Mechanic', 'm'], ['Rolf Mittweg', 'm'], ['Mark Ordesky', 'm']] "	-1.5	-1.5	0	0	0.285714286	0.222222222	Adventure
 The Proposition 	421238	-6	-4	6568350	1	2005	" [['Nick Cave', 'm']] "	" [['John Hillcoat', 'm']] "	" [['James Atherton', 'm'], ['Chris Auty', 'm'], ['Chris Brown', 'm'], ['Sara Giles', 'f'], ['Michael Hamlyn', 'm'], ['Michael Henry', 'm'], ['Norman Humphrey', 'NULL'], ['Robert Jones', 'm'], ['Chiara Menage', 'NULL'], [""""Jackie O'Sullivan"""", 'NULL'], ['Cat Villiers', 'f']] "	-1.5	-1.5	0	0	0.181818182	0.153846154	&&&&
 The Ring Two 	377109	60803342	92350215.98	196931964.2	3	2005	" [['Ehren Kruger', 'm'], ['Koji Suzuki', 'm'], ['Hiroshi Takahashi', 'NULL']] "	" [['Hideo Nakata', 'm']] "	" [['Chris Bender', 'm'], ['Neal Edelstein', 'm'], ['Michele Imperato', 'NULL'], ['Roy Lee', 'm'], ['Mike Macari', 'm'], ['Laurie MacDonald', 'f'], ['Neil A. Machlis', 'm'], ['Walter F. Parkes', 'm'], ['J.C. Spink', 'm'], ['Michele Weisler', 'NULL']] "	-1.5	-1.5	0	0	0.1	0.071428571	Horror
 The Sisterhood of the Traveling Pants 	403508	30401671	47491132.48	50539880.15	3	2005	" [['Ann Brashares', 'f'], ['Delia Ephron', 'f'], ['Elizabeth Chandler', 'f']] "	" [['Ken Kwapis', 'm']] "	" [['Debra Martin Chase', 'f'], ['Kira Davis', 'f'], ['Denise Di Novi', 'f'], ['Alison Greenspan', 'f'], ['Broderick Johnson', 'm'], ['Andrew A. Kosove', 'm'], ['Leslie Morgenstein', 'NULL'], ['Christine A. Sacani', 'f'], ['Steven P. Wegner', 'm'], ['Melissa Wiechmann', 'f']] "	-1.5	-1.5	1	0	0.6	0.642857143	Drama
 The Skeleton Key 	397101	48642673.6	58258983.59	112190578.7	3	2005	" [['Ehren Kruger', 'm']] "	" [['Iain Softley', 'm']] "	" [['Daniel Bobker', 'm'], ['Lorenzo P. Lampthwait', 'm'], ['Michael Shamberg', 'm'], ['Stacey Sher', 'f'], ['Iain Softley', 'm'], ['Clayton Townsend', 'm']] "	-1.5	-1.5	0	0	0.166666667	0.125	Horror
 The Three Burials of Melquiades Estrada 	419294	-6	-4	11768019	3	2005	" [['Guillermo Arriaga', 'm']] "	" [['Tommy Lee Jones', 'm']] "	" [['Luc Besson', 'm'], ['Michael Fitzgerald', 'm'], ['Tommy Lee Jones', 'm'], ['Pierre-Ange Le Pogam', 'm']] "	-1.5	-1.5	0	0	0	0	&&&&
 Transporter 2 	388482	-6	-4	110803098	1	2005	" [['Luc Besson', 'm'], ['Robert Mark Kamen', 'm']] "	" [['Louis Leterrier', 'm']] "	" [['Luc Besson', 'm'], ['Steve Chasman', 'm'], ['Terry Miller', 'NULL']] "	-1.5	-1.5	0	0	0	0	&&&&
 Tristram Shandy: A Cock and Bull Story 	423409	-6	-4	1630690	2	2005	" [['Laurence Sterne', 'm'], ['Frank Cottrell Boyce', 'm']] "	" [['Michael Winterbottom', 'm']] "	" [['Jeff Abberley', 'm'], ['Julia Blackman', 'f'], ['Wendy Brazington', 'f'], ['Andrew Eaton', 'm'], ['Henry Normal', 'm'], ['Kate Ogborn', 'f'], ['Anita Overland', 'NULL'], ['Tracey Scoffield', 'NULL'], ['David M. Thompson', 'm']] "	-1.5	-1.5	0	0	0.333333333	0.25	&&&&
 Walk the Line 	358273	35265938.36	145343581.5	228264860.3	3	2005	" [['Johnny Cash', 'm'], ['Gill Dennis', 'm'], ['James Mangold', 'm'], ['Patrick Carr', 'm']] "	" [['James Mangold', 'm']] "	" [['Alan C. Blomquist', 'm'], ['John Carter Cash', 'm'], ['James Keach', 'm'], ['Cathy Konrad', 'f']] "	-1.5	-1.5	0	0	0.25	0.111111111	Drama
 White Noise 	375210	12160668.4	68214491.11	111992897.3	1	2005	" [['Niall Johnson', 'm']] "	" [['Geoffrey Sax', 'm']] "	" [['Paul Brooks', 'm'], ['Simon Brooks', 'm'], ['Stephen Hegyes', 'm'], ['Scott Niemeyer', 'm'], ['Norm Waitt', 'm'], ['Shawn Williamson', 'm']] "	-1.5	-1.5	0	0	0	0	Drama
 Zathura: A Space Adventure 	406375	-6	-4	38065789	0	2005	" [['Chris Van Allsburg', 'm'], ['David Koepp', 'm'], ['John Kamps', 'm']] "	" [['Jon Favreau', 'm']] "	" [['Peter Billingsley', 'm'], [""""Louis D'Esposito"""", 'm'], ['Michael De Luca', 'm'], ['Ted Field', 'm'], ['Scott Kroopf', 'm'], ['William Teitler', 'm']] "	-1.5	-1.5	0	0	0	0	&&&&
Bewitched	374536	97285347.2	76993033.2	159498482.8	3	2005	" [['Nora Ephron', 'f'], ['Delia Ephron', 'f'], ['Sol Saks', 'm']] "	" [['Nora Ephron', 'f']] "	" [['Steven H. Berman', 'm'], ['Bobby Cohen', 'm'], ['Nora Ephron', 'f'], ['Lucy Fisher', 'f'], ['Penny Marshall', 'f'], ['James W. Skotchdopole', 'm'], ['Douglas Wick', 'm']] "	-1.5	-1.5	0.666666667	1	0.428571429	0.545454545	Comedy
BloodRayne	383222	-6	-4	4749008	3	2005	" [['Guinevere Turner', 'f']] "	" [['Uwe Boll', 'm']] "	" [['Uwe Boll', 'm'], ['Dan Clarke', 'm'], ['Wolfgang Herold', 'm'], ['Jonathan Shore', 'm'], ['Jesse Sutton', 'NULL'], ['Morris Sutton', 'NULL'], ['Shawn Williamson', 'm']] "	-1.5	-1.5	1	0	0	0.111111111	&&&&
Boogeyman	357507	24321336.8	56854021.44	81711007.71	2	2005	" [['Eric Kripke', 'm'], ['Juliet Snowden', 'f'], ['Stiles White', 'm']] "	" [['Stephen Kay', 'm']] "	" [['Gary Bryman', 'm'], ['Joseph Drake', 'm'], ['Steve Hein', 'm'], ['Nathan Kahane', 'm'], ['Eric Kripke', 'm'], ['Doug Lefler', 'm'], ['Carsten H.W. Lorenz', 'm'], ['Sam Raimi', 'm'], ['Rob Tapert', 'm']] "	-1.5	-1.5	0.333333333	0	0	0.076923077	Horror
Casanova	402894	-6.0803342	13746909.63	44026973.95	3	2005	" [['Jeffrey Hatcher', 'm'], ['Kimberly Simi', 'f'], ['Michael Cristofer', 'm']] "	" [['Lasse Hallstrom', 'm']] "	" [['Su Armstrong', 'f'], ['Betsy Beers', 'f'], ['Guido Cerasuolo', 'NULL'], ['Mark Gordon', 'm'], ['Leslie Holleran', 'NULL'], ['Gary Levinsohn', 'm'], ['Adam Merims', 'm']] "	-1.5	-1.5	0.333333333	0	0.285714286	0.272727273	Drama
Factotum	417658	-6	-4	3523221	1	2005	" [['Charles Bukowski', 'm'], ['Bent Hamer', 'm'], ['Jim Stark', 'm']] "	" [['Bent Hamer', 'm']] "	" [['Bent Hamer', 'm'], ['Jim Stark', 'm'], ['Christine K. Walker', 'f']] "	-1.5	-1.5	0	0	0.333333333	0.142857143	&&&&
Hoodwinked!	443536	-6	-4	143127130	3	2005	" [['Cory Edwards', 'm'], ['Todd Edwards', 'm'], ['Tony Leech', 'm']] "	" [['Cory Edwards', 'm'], ['Todd Edwards', 'm'], ['Tony Leech', 'm']] "	" [['Maurice Kanbar', 'm'], ['David Lovegren', 'm'], ['Sue Bea Montgomery', 'f'], ['Preston Stutzman', 'm']] "	-1.5	-1.5	0	0	0.25	0.1	&&&&
Hostel	450278	-6	-4	104833193	1	2005	" [['Eli Roth', 'm']] "	" [['Eli Roth', 'm']] "	" [['Chris Briggs', 'm'], ['Mike Fleiss', 'm'], ['Daniel Frisch', 'm'], ['Eli Roth', 'm'], ['Scott Spiegel', 'm'], ['Quentin Tarantino', 'm'], ['Philip Waley', 'm'], ['Boaz Yakin', 'm']] "	-1.5	-1.5	0	0	0	0	&&&&
Jarhead	418763	87556812.48	76183596	117894688.6	0	2005	" [['William Broyles Jr.', 'm'], ['Anthony Swofford', 'm']] "	" [['Sam Mendes', 'm']] "	" [['Bobby Cohen', 'm'], ['Lucy Fisher', 'f'], ['Pippa Harris', 'f'], ['Sam Mercer', 'm'], ['Douglas Wick', 'm']] "	-1.5	-1.5	0	0	0.4	0.25	Drama
Junebug	418773	1216066.84	3256639.158	4320993.147	3	2005	" [['Angus MacLachlan', 'm']] "	" [['Phil Morrison', 'm']] "	" [['Mark P. Clein', 'm'], ['Mindy Goldberg', 'f'], ['Ethan D. Leder', 'm'], ['Daniel Rappaport', 'm'], ['Mike S. Ryan', 'm'], ['Dany Wolf', 'm']] "	-1.5	-1.5	0	0	0.166666667	0.125	Drama
Madagascar	351283	91205013	235425093.5	676813632.7	0	2005	" [['Mark Burton', 'm'], ['Billy Frolick', 'm'], ['Eric Darnell', 'm'], ['Tom McGrath', 'm']] "	" [['Eric Darnell', 'm'], ['Tom McGrath', 'm']] "	" [['Teresa Cheng', 'f'], ['Mireille Soria', 'f']] "	-1.5	-1.5	0	0	1	0.25	Adventure
MirrorMask	366780	-6	-4	1127966	3	2005	" [['Neil Gaiman', 'm'], ['Dave McKean', 'm']] "	" [['Dave McKean', 'm']] "	" [['Martin G. Baker', 'm'], ['Lisa Henson', 'f'], ['Simon Moorhead', 'm'], ['Michael Polis', 'm']] "	-1.5	-1.5	0	0	0.25	0.142857143	&&&&
Proof	377107	24321336.8	9163466.158	10074300.22	3	2005	" [['David Auburn', 'm'], ['Rebecca Miller', 'f']] "	" [['John Madden', 'm']] "	" [['Mark Cooper', 'm'], ['Julie Goldstein', 'f'], ['John Hart', 'm'], ['Michael Hogan', 'm'], ['Robert Kessel', 'm'], ['Alison Owen', 'f'], ['Jeff Sharp', 'm'], ['James D. Stern', 'm'], ['Bob Weinstein', 'm'], ['Harvey Weinstein', 'm']] "	-1.5	-1.5	0.5	0	0.2	0.230769231	Drama
Robots	358082	97285347.2	155899783.5	317028639.8	1	2005	" [['Ron Mita', 'm'], ['Jim McClain', 'm'], ['David Lindsay-Abaire', 'm'], ['Lowell Ganz', 'm'], ['Babaloo Mandel', 'm']] "	" [['Chris Wedge', 'm'], ['Carlos Saldanha', 'm']] "	" [['Jerry Davis', 'm'], ['John C. Donkin', 'm'], ['Bob Gordon', 'm'], ['William Joyce', 'm'], ['Christopher Meledandri', 'm'], ['Lorne Orleans', 'm']] "	-1.5	-1.5	0	0	0	0	Adventure
Stealth	382992	167817223.9	-14.59280208	92927870.83	1	2005	" [['W.D. Richter', 'm']] "	" [['Rob Cohen', 'm']] "	" [['Mike Medavoy', 'm'], ['Arnold Messer', 'm'], ['Neal H. Moritz', 'm'], ['E. Bennett Walsh', 'm'], ['Laura Ziskin', 'f']] "	-1.5	-1.5	0	0	0.2	0.142857143	Action
Swimmers	384573	-6	-4	43430	3	2005	" [['Doug Sadler', 'm']] "	" [['Doug Sadler', 'm']] "	" [['Melanie Backer', 'NULL'], ['Daniel Bickel', 'm'], ['Ophira Dagan', 'f'], ['Eli Gonda', 'NULL'], ['Chris Huddleston', 'm'], ['David W. Leitner', 'm'], ['Vince P. Maggio', 'm'], ['Eli P. Navon', 'NULL'], ['Michael Yanko', 'm']] "	-1.5	-1.5	0	0	0.111111111	0.090909091	&&&&
Tideland	410764	-6	-4	737161	3	2005	" [['Tony Grisoni', 'm'], ['Terry Gilliam', 'm'], ['Mitch Cullin', 'm']] "	" [['Terry Gilliam', 'm']] "	" [['Paul Brett', 'm'], ['Gabriella Martinelli', 'f'], ['Jeremy Thomas', 'm'], ['Peter Watson', 'm']] "	-1.5	-1.5	0	0	0.25	0.125	&&&&
Transamerica	407265	-6	-4	19712419	3	2005	" [['Duncan Tucker', 'm']] "	" [['Duncan Tucker', 'm']] "	" [['Rene Bastian', 'NULL'], ['Sebastian Dungan', 'm'], ['William H. Macy', 'm'], ['Linda Moran', 'f']] "	-1.5	-1.5	0	0	0.25	0.166666667	&&&&
Valiant	361089	42562339.4	23686678.81	78057368.94	1	2005	" [['George Webster', 'm'], ['Jordan Katz', 'm'], ['George Melrod', 'm']] "	" [['Gary Chapman', 'm']] "	" [['Curtis Augspurger', 'm'], ['Eric M. Bennett', 'm'], ['Neil Braun', 'm'], ['Buckley Collum', 'm'], ['Keith Evans', 'm'], ['Robert Jones', 'm'], ['Ralph Kamp', 'm'], ['Barnaby Thompson', 'm'], ['John H. Williams', 'm']] "	-1.5	-1.5	0	0	0	0	Adventure
Waiting...	348333	1368075.195	19608522.05	22707949.31	3	2005	" [['Rob McKittrick', 'm']] "	" [['Rob McKittrick', 'm']] "	" [['Thomas Augsberger', 'm'], ['Jeff Balis', 'm'], ['Chris Fenton', 'm'], ['Paul Fiore', 'm'], ['Robert O. Green', 'm'], ['Stavros Merjos', 'NULL'], ['Chris Moore', 'm'], ['Sam Nazarian', 'm'], ['Malcolm Petal', 'm'], ['Jay Rifkin', 'm'], ['Adam Rosenfelt', 'm'], ['Marc Schaberg', 'm'], ['Jonathan Shestack', 'm'], ['Dean Shull', 'm'], ['Randy Winograd', 'NULL']] "	-1.5	-1.5	0	0	0	0	Comedy
Water	240200	-6	-4	4192937	3	2005	" [['Anurag Kashyap', 'm'], ['Deepa Mehta', 'f']] "	" [['Deepa Mehta', 'f']] "	" [['Mark Burton', 'm'], ['David Hamilton', 'm'], ['Doug Mankoff', 'm'], ['Ajay Virmani', 'NULL']] "	-1.5	-1.5	0.5	1	0	0.285714286	&&&&
" You, Me and Dupree "	463034	62948989.62	88364072.98	152012495.8	1	2006	" [['Michael LeSieur', 'm']] "	" [['Anthony Russo', 'm'], ['Joe Russo', 'm']] "	" [['Michael Fottrell', 'm'], ['Aaron Kaplan', 'm'], ['Mary Parent', 'f'], ['Sean Perrone', 'NULL'], ['Scott Stuber', 'm'], ['Owen Wilson', 'm']] "	-1.5	-1.5	0	0	0.166666667	0.111111111	Comedy
 A Guide to Recognizing Your Saints 	473488	-5.82861015	601674.6028	2479950.052	1	2006	" [['Dito Montiel', 'm']] "	" [['Dito Montiel', 'm']] "	" [['Rene Bastian', 'NULL'], ['Charlie Corwin', 'm'], ['Robert Downey Jr.', 'm'], ['Jonathan Elias', 'm'], ['Amanda Mackey Johnson', 'f'], ['Clara Markowicz', 'NULL'], ['Linda Moran', 'f'], ['Bobby Sager', 'NULL'], ['Peter Sahagen', 'm'], ['Sting', 'm'], ['Trudie Styler', 'f'], ['Travis Swords', 'm']] "	-1.5	-1.5	0	0	0.25	0.214285714	Drama
 A Prairie Home Companion 	420087	11657220.3	23714110.73	31143652.41	3	2006	" [['Garrison Keillor', 'm'], ['Ken LaZebnik', 'm']] "	" [['Robert Altman', 'm']] "	" [['Robert Altman', 'm'], ['Wren Arthur', 'NULL'], ['Joshua Astrachan', 'm'], ['Gerard Cafesjian', 'm'], ['Frederick W. Green', 'm'], ['Tony Judge', 'm'], ['David Levy', 'm'], ['Patty Payne Green', 'NULL'], ['John Penotti', 'm'], ['Bill Pohlad', 'm'], ['George Sheanshang', 'm'], ['Fisher Stevens', 'm'], ['John Stout', 'm']] "	-1.5	-1.5	0	0	0	0	Comedy
 Akeelah and the Bee 	437800	-6	-4	23946575	3	2006	" [['Doug Atchison', 'm']] "	" [['Doug Atchison', 'm']] "	" [['Jaki Brown', 'f'], ['Michael Burns', 'm'], ['Marc Butan', 'm'], ['Mark Cuban', 'm'], ['Laurence Fishburne', 'm'], ['Sidney Ganis', 'm'], ['Nancy Hult Ganis', 'f'], ['Kent Kubena', 'm'], ['Danny Llewelyn', 'm'], ['Tom Ortenberg', 'm'], ['Michael Paseornek', 'm'], ['Michael Romersa', 'm'], ['Helen Sugland', 'f'], ['Mike Upton', 'm'], ['Todd Wagner', 'm']] "	-1.5	-1.5	0	0	0.2	0.176470588	&&&&
 Amazing Grace 	454776	-6	-4	40889218	1	2006	" [['Steven Knight', 'm']] "	" [['Michael Apted', 'm']] "	" [['James Clayton', 'm'], ['Mark Cooper', 'm'], ['Patricia Heaton', 'f'], ['David Hunt', 'm'], ['Jeanney Kim', 'f'], ['Terrence Malick', 'm'], ['Edward R. Pressman', 'm'], ['Duncan Reid', 'm'], ['Ken Wales', 'm']] "	-1.5	-1.5	0	0	0.222222222	0.181818182	&&&&
 Black Sheep 	779982	-6	-4	105642	1	2006	" [['Jonathan King', 'm']] "	" [['Jonathan King', 'm']] "	" [['Philippa Campbell', 'f']] "	-1.5	-1.5	0	0	1	0.333333333	&&&&
 Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan 	443453	-6	-4	332982103	1	2006	" [['Sacha Baron Cohen', 'm'], ['Anthony Hines', 'm'], ['Peter Baynham', 'm'], ['Dan Mazer', 'm'], ['Todd Phillips', 'm']] "	" [['Larry Charles', 'm']] "	" [['Sacha Baron Cohen', 'm'], ['Peter Baynham', 'm'], ['Monica Levinson', 'f'], ['Dan Mazer', 'm'], ['Jay Roach', 'm']] "	-1.5	-1.5	0	0	0.2	0.090909091	&&&&
 Brand Upon The Brain! 	443455	-6	-4	357829	3	2006	" [['Guy Maddin', 'm'], ['Louis Negin', 'm'], ['George Toles', 'm']] "	" [['Guy Maddin', 'm']] "	" [['A.J. Epstein', 'NULL'], ['Joy Fairfield', 'f'], ['Amy Jacobson', 'f'], ['Gregg Lachow', 'm'], ['Jody Shapiro', 'm'], ['Philip Wohlstetter', 'm']] "	-1.5	-1.5	0	0	0.333333333	0.2	&&&&
 Casino Royale 	381061	118903647.1	195101067.6	692928819	1	2006	" [['Neal Purvis', 'm'], ['Robert Wade', 'm'], ['Paul Haggis', 'm'], ['Ian Fleming', 'm']] "	" [['Martin Campbell', 'm']] "	" [['Barbara Broccoli', 'f'], ['Callum McDougall', 'm'], ['David Minkowski', 'm'], ['Matthew Stillman', 'm'], ['Anthony Waye', 'm'], ['Michael G. Wilson', 'm'], ['Charlie Woebcken', 'm']] "	-1.5	-1.5	0	0	0.142857143	0.083333333	Action
 Clerks II 	424345	5828610.15	28149934.85	31873458.51	3	2006	" [['Kevin Smith', 'm']] "	" [['Kevin Smith', 'm']] "	" [['Carla Gardini', 'f'], ['Laura Greenlee', 'f'], ['Scott Mosier', 'm'], ['Bob Weinstein', 'm'], ['Harvey Weinstein', 'm']] "	-1.5	-1.5	0	0	0.4	0.285714286	Comedy
 Day Night Day Night 	499455	-6	-4	40452	3	2006	" [['Julia Loktev', 'f']] "	" [['Julia Loktev', 'f']] "	" [['Melanie Judd', 'f'], ['Jessica Levin', 'f'], ['Julia Loktev', 'f']] "	-1.5	-1.5	1	1	1	1	&&&&
 DOA: Dead or Alive 	398913	-6	-4	611440	3	2006	" [['J.F. Lawton', 'm'], ['Adam Gross', 'm'], ['Seth Gross', 'm']] "	" [['Corey Yuen', 'm']] "	" [['Mark A. Altman', 'm'], ['Paul W.S. Anderson', 'm'], ['Jeremy Bolt', 'm'], ['Steve Chasman', 'm'], ['Bernd Eichinger', 'm'], ['Mark Gottwald', 'm'], ['Andreas Grosch', 'NULL'], ['Daniel S. Kletzky', 'm'], ['Robert Kulzer', 'm'], ['Peggy Lee', 'f'], ['Martin Moszkowicz', 'm'], ['Andreas Schmid', 'NULL']] "	-1.5	-1.5	0	0	0.083333333	0.0625	&&&&
 Fast Food Nation 	460792	-5.82861015	1172178.964	1172178.964	3	2006	" [['Eric Schlosser', 'm'], ['Richard Linklater', 'm']] "	" [['Richard Linklater', 'm']] "	" [['Ann Carli', 'f'], ['Malcolm McLaren', 'm'], ['Chris Salvaterra', 'm'], ['Edward Saxon', 'm'], ['Eric Schlosser', 'm'], ['Jeff Skoll', 'm'], ['Ricky Strauss', 'm'], ['Jeremy Thomas', 'm'], ['David M. Thompson', 'm'], ['Peter Watson', 'm']] "	-1.5	-1.5	0	0	0.1	0.076923077	Drama
 Fay Grim 	444628	-6	-4	243777	3	2006	" [['Hal Hartley', 'm']] "	" [['Hal Hartley', 'm']] "	" [['Mark Cuban', 'm'], ['Martin Hagemann', 'm'], ['Hal Hartley', 'm'], ['Ted Hope', 'm'], ['Jason Kliot', 'm'], ['Mike S. Ryan', 'm'], ['Joana Vicente', 'f'], ['Todd Wagner', 'm']] "	-1.5	-1.5	0	0	0.125	0.1	&&&&
 Flushed Away 	424095	173692582.5	75382198.44	209080553	0	2006	" [['Dick Clement', 'm'], ['Ian La Frenais', 'm'], ['Christopher Lloyd', 'm'], ['Joe Keenan', 'm'], ['William Davies', 'm'], ['Sam Fell', 'm'], ['Peter Lord', 'm']] "	" [['David Bowers', 'm'], ['Sam Fell', 'm']] "	" [['Maryann Garger', 'f'], ['Cecil Kramer', 'NULL'], ['Peter Lord', 'm'], ['David Sproxton', 'm']] "	-1.5	-1.5	0	0	0.25	0.076923077	Comedy
 For Your Consideration 	470765	-6	-4	7543336	3	2006	" [['Christopher Guest', 'm'], ['Eugene Levy', 'm']] "	" [['Christopher Guest', 'm']] "	" [['Karen Murphy', 'f']] "	-1.5	-1.5	0	0	1	0.25	&&&&
 Friends with Money 	436331	-6	-4	23226196	3	2006	" [['Nicole Holofcener', 'f']] "	" [['Nicole Holofcener', 'f']] "	" [['Ray Angelic', 'm'], ['Anthony Bregman', 'm'], ['Anne Carey', 'f'], ['Ted Hope', 'm']] "	-1.5	-1.5	1	1	0.25	0.5	&&&&
 Grandma's Boy 	456554	5828610.15	7099447.667	7682308.682	3	2006	" [['Barry Wernick', 'm'], ['Allen Covert', 'm'], ['Nick Swardson', 'm']] "	" [['Nicholaus Goossen', 'm']] "	" [['Allen Covert', 'm'], ['Glenn S. Gainor', 'm'], ['Jack Giarraputo', 'm'], ['Edward Milstein', 'm'], ['Adam Sandler', 'm'], ['Paul Schwake', 'm'], ['Nick Swardson', 'm'], ['Bill Todman Jr.', 'm']] "	-1.5	-1.5	0	0	0	0	Comedy
 Gray Matters 	375785	-6	-4	1202322	3	2006	" [['Sue Kramer', 'f']] "	" [['Sue Kramer', 'f']] "	" [['Jill Footlick', 'f'], ['John J. Hermansen', 'm'], ['Joey Horvitz', 'm'], ['Sue Kramer', 'f'], ['Ted Liebowitz', 'm'], ['Diane Nabatoff', 'f'], ['Alexander Payne', 'm'], ['Rachel Peters', 'f'], ['Margaret Riley', 'f'], ['Todd Williams', 'm'], ['Bob Yari', 'm']] "	-1.5	-1.5	1	1	0.454545455	0.538461538	&&&&
 Half Nelson 	468489	-6	-4	5932792	3	2006	" [['Ryan Fleck', 'm'], ['Anna Boden', 'f']] "	" [['Ryan Fleck', 'm']] "	" [['Anna Boden', 'f'], ['Charlie Corwin', 'm'], ['Doug Dey', 'm'], ['Rosanne Korenberg', 'f'], ['Scott London', 'm'], ['Clara Markowicz', 'NULL'], ['Paul Mezey', 'm'], ['Alex Orlovsky', 'm'], ['Jamie Patricof', 'NULL'], ['Lynette Howell Taylor', 'f'], ['Jeremy Kipp Walker', 'm']] "	-1.5	-1.5	0.5	0	0.272727273	0.285714286	&&&&
 I'm Reed Fish 	464061	-6	-4	4541	2	2006	" [['Reed Fish', 'm'], ['Zackary Adler', 'm'], ['Peter Alwazzan', 'm'], ['Rhett Wickham', 'NULL']] "	" [['Zackary Adler', 'm']] "	" [['Bader Alwazzan', 'NULL'], ['Peter Alwazzan', 'm'], ['Kerry Foster', 'NULL'], ['Akiva Goldsman', 'm'], ['Michael Mihalke', 'm']] "	-1.5	-1.5	0	0	0	0	&&&&
 Ice Age: The Meltdown 	438097	87429152.25	227701208	759933354.4	1	2006	" [['Peter Gaulke', 'm'], ['Gerry Swallow', 'm'], ['Jim Hecht', 'm']] "	" [['Carlos Saldanha', 'm']] "	" [['Lori Forte', 'f'], ['Christopher Meledandri', 'm'], ['Chris Wedge', 'm']] "	-1.5	-1.5	0	0	0.333333333	0.142857143	Adventure
 Inland Empire 	460829	-5.82861015	989762.1182	989762.1182	3	2006	" [['David Lynch', 'm']] "	" [['David Lynch', 'm']] "	" [['Jeremy Alter', 'm'], ['Laura Dern', 'f'], ['Janusz Hetman', 'm'], ['Keith Kjarval', 'm'], ['David Lynch', 'm'], ['Michal Stopowski', 'm'], ['Kazimierz Suwala', 'm'], ['Mary Sweeney', 'f'], ['Marek Zydowicz', 'm']] "	-1.5	-1.5	0	0	0.222222222	0.181818182	Drama
