Title	IMDB	Budget	Dom Box Office	Intl Box Office	Score	Year	Writers	Directors	Producers	Female Char %	Female Talk %	Female Writer %	Female Director %	Female Producer %	Overall Female Production %	Genre
 The Bling Ring 	2132285	-5.0646884	5921362.21	12568015.15	3	2013	" [['Sofia Coppola', 'f'], ['Nancy Jo Sales', 'f']] "	" [['Sofia Coppola', 'f']] "	" [['Francis Ford Coppola', 'm'], ['Roman Coppola', 'm'], ['Sofia Coppola', 'f'], ['Darren M. Demetre', 'm'], ['Emilio Diez Barroso', 'm'], ['Youree Henley', 'NULL'], ['Darlene Caamano Loquet', 'NULL'], ['Paul Rassam', 'm'], ['Fred Roos', 'm'], ['Michael Zakin', 'm']] "	0.7	0.726060606	1	1	0.1	0.307692308	Drama
Cake	3442006	-6	-4	1992763	3	2014	" [['Patrick Tobin', 'm']] "	" [['Daniel Barnz', 'm']] "	" [['Jennifer Aniston', 'f'], ['Ben Barnz', 'm'], ['Stephanie Caleb', 'f'], ['Mark Canton', 'm'], ['Yu Wei Cheng', 'NULL'], ['Elizabeth Destro', 'f'], ['Wayne Marc Godfrey', 'm'], ['Kristin Hahn', 'f'], ['Scott Karol', 'm'], ['Nancy Kirhoffer', 'f'], ['Patty Long', 'NULL'], ['Shyam Madiraju', 'NULL'], ['Courtney Solomon', 'm']] "	0.7	0.847958856	0	0	0.384615385	0.333333333	&&&&
Beloved	120603	76906901.86	33160641.04	33160641.04	3	1998	" [['Toni Morrison', 'f'], ['Akosua Busia', 'f'], ['Richard LaGravenese', 'm'], ['Adam Brooks', 'm']] "	" [['Jonathan Demme', 'm']] "	" [['Ronald M. Bozman', 'm'], ['Jonathan Demme', 'm'], ['Kate Forte', 'f'], ['Gary Goetzman', 'm'], ['Edward Saxon', 'm'], ['Oprah Winfrey', 'f']] "	0.692307692	0.692710175	0.5	0	0.333333333	0.363636364	Drama
Juno	467406	7946527.96	162898447.9	262746386.7	3	2007	" [['Diablo Cody', 'f']] "	" [['Jason Reitman', 'm']] "	" [['Joseph Drake', 'm'], ['Daniel Dubiecki', 'm'], ['Lianne Halfon', 'f'], ['Nathan Kahane', 'm'], ['Kelli Konop', 'f'], ['John Malkovich', 'm'], ['Jim Miller', 'm'], ['Mason Novick', 'm'], ['Russell Smith', 'm'], ['Brad Van Arragon', 'm']] "	0.692307692	0.773376853	1	0	0.2	0.25	Comedy
Spanglish	371246	93512783.25	-14.96204532	67758516.14	3	2004	" [['James L. Brooks', 'm']] "	" [['James L. Brooks', 'm']] "	" [['Julie Ansell', 'f'], ['Joan Bradshaw', 'f'], ['James L. Brooks', 'm'], ['Christy Haubegger', 'f'], ['Francine Maisler', 'f'], ['Richard Marks', 'm'], [""""Aldric La'auli Porter"""", 'm'], ['Richard Sakai', 'm']] "	0.666666667	0.700424698	0	0	0.5	0.4	Comedy
 Silent Hill 	384537	58286101.5	54768689.15	110398803.7	3	2006	" [['Roger Avary', 'm']] "	" [['Christophe Gans', 'm']] "	" [['Nicolas Boukhrief', 'm'], ['Don Carmody', 'm'], ['Samuel Hadida', 'm'], ['Victor Hadida', 'm'], ['Andrew Mason', 'm'], ['Akira Yamaoka', 'm']] "	0.666666667	0.826641851	0	0	0	0	Horror
 For Colored Girls 	1405500	22788177.09	40942430.46	41255143.93	3	2010	" [['Tyler Perry', 'm'], ['Ntozake Shange', 'f']] "	" [['Tyler Perry', 'm']] "	" [['Roger M. Bobb', 'm'], ['Joseph P. Genier', 'm'], ['Paul Hall', 'm'], ['Charisse Nesbit', 'NULL'], ['Michael Paseornek', 'm'], ['Tyler Perry', 'm'], ['Nzingha Stewart', 'NULL']] "	0.666666667	0.870247187	0.5	0	0	0.1	Drama
 Rabbit Hole 	935075	5425756.45	2418865.164	6733400.65	3	2010	" [['David Lindsay-Abaire', 'm']] "	" [['John Cameron Mitchell', 'm']] "	" [['Caroline Jaczko', 'f'], ['Nicole Kidman', 'f'], ['Geoff Linville', 'm'], ['Bill Lischak', 'm'], ['Linda McDonough', 'f'], [""""Brian O'Shea"""", 'm'], ['Gigi Pritzker', 'NULL'], ['Daniel Revers', 'm'], ['Per Saari', 'm'], ['Leslie Urdang', 'f'], ['Dean Vanech', 'm']] "	0.666666667	0.655172414	0	0	0.363636364	0.307692308	Drama
 Tamara Drewe 	1486190	-6	-4	12589605	3	2010	" [['Moira Buffini', 'f'], ['Posy Simmonds', 'f']] "	" [['Stephen Frears', 'm']] "	" [['Maya Amsellem', 'NULL'], ['Sharon Harel', 'f'], ['Christine Langan', 'f'], ['Alison Owen', 'f'], ['Eve Schoukroun', 'f'], ['Tracey Seaward', 'f'], ['Paul Trijbits', 'm']] "	0.666666667	0.514713002	1	0	0.714285714	0.7	&&&&
 Spring Breakers 	2101441	5138828.348	14516455.47	33247050	3	2012	" [['Harmony Korine', 'm']] "	" [['Harmony Korine', 'm']] "	" [['Charles-Marie Anthonioz', 'm'], ['Agnes B.', 'f'], ['Vikram Chatwal', 'm'], ['Chris Contogouris', 'm'], ['Megan Ellison', 'f'], ['Ted Field', 'm'], ['Jordan Gertner', 'm'], ['Chris Hanley', 'm'], ['Jane Holzer', 'f'], ['Vince Jolivette', 'm'], ['Susan Kirr', 'f'], ['Miles Levy', 'm'], ['Stella Schnabel', 'f'], ['Fernando Sulichin', 'm'], ['Wicks Walker', 'm'], ['Aeysha Walsh', 'NULL'], ['Mike Weber', 'm'], ['David Zander', 'm']] "	0.666666667	0.617509119	0	0	0.277777778	0.25	&&&&
