person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Steven  Spielberg 	1.76	 Kenny  Bates 	3.0	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Dark    of    the    Moon  '] 	3	3.0
 Steven  Spielberg 	1.76	 Don  Murphy 	2.1818181818181817	 ['  Transformers:    Age    of    Extinction  ',  'Transformers',  '  Transformers:    Dark    of    the    Moon  ',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Real    Steel  '] 	5	2.6
 Steven  Spielberg 	1.76	 Allegra  Clegg 	2.3	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Steven  Spielberg 	1.76	 Mark  Vahradian 	2.5	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Steven  Spielberg 	1.76	 Michael  Bay 	2.4444444444444446	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Ian  Bryce 	2.230769230769231	 Kenny  Bates 	3.0	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Dark    of    the    Moon  '] 	3	3.0
 Ian  Bryce 	2.230769230769231	 Don  Murphy 	2.1818181818181817	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Ian  Bryce 	2.230769230769231	 Allegra  Clegg 	2.3	 ['  Transformers:    Age    of    Extinction  ',  'Transformers',  '  Transformers:    Dark    of    the    Moon  ',  '  Transformers:    Revenge    of    the    Fallen  ',  'Hancock'] 	5	2.4
 Ian  Bryce 	2.230769230769231	 Mark  Vahradian 	2.5	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Ian  Bryce 	2.230769230769231	 Michael  Bay 	2.4444444444444446	 ['  Transformers:    Age    of    Extinction  ',  'Transformers',  '  Pain    &    Gain  ',  '  Teenage    Mutant    Ninja    Turtles  ',  '  Transformers:    Dark    of    the    Moon  ',  '  Transformers:    Revenge    of    the    Fallen  ',  '  The    Island  '] 	7	2.7142857142857144
 Kenny  Bates 	3.0	 Don  Murphy 	2.1818181818181817	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Dark    of    the    Moon  '] 	3	3.0
 Kenny  Bates 	3.0	 Allegra  Clegg 	2.3	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Dark    of    the    Moon  '] 	3	3.0
 Kenny  Bates 	3.0	 Mark  Vahradian 	2.5	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Dark    of    the    Moon  '] 	3	3.0
 Kenny  Bates 	3.0	 Michael  Bay 	2.4444444444444446	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Dark    of    the    Moon  '] 	3	3.0
 Don  Murphy 	2.1818181818181817	 Allegra  Clegg 	2.3	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Don  Murphy 	2.1818181818181817	 Mark  Vahradian 	2.5	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Don  Murphy 	2.1818181818181817	 Michael  Bay 	2.4444444444444446	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Allegra  Clegg 	2.3	 Mark  Vahradian 	2.5	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Allegra  Clegg 	2.3	 Michael  Bay 	2.4444444444444446	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Mark  Vahradian 	2.5	 Michael  Bay 	2.4444444444444446	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Sylvester  Stallone 	1.5	 Avi  Lerner 	1.9523809523809523	 ['  The    Expendables  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.5
 Sylvester  Stallone 	1.5	 Kevin  King  Templeton 	1.3333333333333333	 ['  The    Expendables  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.5
 Sylvester  Stallone 	1.5	 Les  Weldon 	1.8333333333333333	 ['  The    Expendables  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.5
 Sylvester  Stallone 	1.5	 Trevor  Short 	2.0	 ['  The    Expendables  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.5
 Sylvester  Stallone 	1.5	 John  Thompson 	1.7777777777777777	 ['  The    Expendables  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.5
