person1	 person1  average 	person2	 person  2  average 	 shared  movies 	 number  of  shared  movies 	 collaboration  average 
 Michael  De  Luca 	1.793103448275862	 Michael  McCullers 	2.0	 ['  Austin    Powers:    The    Spy    Who    Shagged    Me  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 John  S.  Lyons 	1.6	 ['  Austin    Powers:    The    Spy    Who    Shagged    Me  ',  '  Boogie    Nights  '] 	2	2.0
 Michael  De  Luca 	1.793103448275862	 Demi  Moore 	2.0	 ['  Austin    Powers:    The    Spy    Who    Shagged    Me  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Donna  Langley 	2.0	 ['  Austin    Powers:    The    Spy    Who    Shagged    Me  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Jon  Favreau 	1.7333333333333334	 ['  Zathura:    A    Space    Adventure  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Georgia  Kacandes 	2.6	['Blow']	1	1.0
 Michael  De  Luca 	1.793103448275862	 David  S.  Goyer 	1.4285714285714286	 ['Blade',  '  Dark    City  ',  '  Ghost    Rider:    Spirit    of    Vengeance  ',  '  Blade    II  '] 	4	0.75
 Michael  De  Luca 	1.793103448275862	 Ted  Demme 	1.5	['Blow']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Jessie  Nelson 	2.5555555555555554	 ['  I    Am    Sam  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Tim  Herlihy 	1.9333333333333333	 ['  Little    Nicky  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Adam  Sandler 	2.1666666666666674	 ['  Little    Nicky  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Robert  Simonds 	2.111111111111111	 ['  Little    Nicky  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Stephen  Norrington 	0.5	['Blade']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Joseph  Calamari 	1	['Blade']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Jon  Divens 	1.0	 ['Blade',  '  Blade    II  '] 	2	1.0
 Michael  De  Luca 	1.793103448275862	 Robert  Engelman 	1.5	 ['Blade',  '  Little    Nicky  '] 	2	1.0
 Michael  De  Luca 	1.793103448275862	 Peter  Frankfurt 	1.0	 ['Blade',  '  Blade    II  '] 	2	1.0
 Michael  De  Luca 	1.793103448275862	 Lynn  Harris 	1.8571428571428572	 ['Magnolia',  '  Boogie    Nights  ',  'Blade',  '  Blade    II  ',  'S1m0ne'] 	5	1.8
 Michael  De  Luca 	1.793103448275862	 Andrew  J.  Horne 	1.0	 ['Blade',  '  Blade    II  '] 	2	1.0
 Michael  De  Luca 	1.793103448275862	 Wesley  Snipes 	1.0	 ['Blade',  '  Blade    II  '] 	2	1.0
 Michael  De  Luca 	1.793103448275862	 Guillermo  del  Toro 	1.6666666666666667	 ['  Blade    II  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Renny  Harlin 	2.0	 ['  The    Long    Kiss    Goodnight  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Edward  Zwick 	1.6666666666666667	 ['  I    Am    Sam  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Marshall  Herskovitz 	1.5714285714285714	 ['  I    Am    Sam  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Bruce  Porter 	1	['Blow']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Nick  Cassavetes 	2.6	['Blow']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Tomas  Krejci 	1	['Blow']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Denis  Leary 	1	['Blow']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Joel  Stillerman 	1.0	['Blow']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Paul  Thomas  Anderson 	1.0500000000000003	 ['Magnolia',  '  Boogie    Nights  '] 	2	2.0
 Michael  De  Luca 	1.793103448275862	 Lawrence  Gordon 	1.6666666666666667	 ['  Boogie    Nights  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Lloyd  Levin 	1.6666666666666667	 ['  Boogie    Nights  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 JoAnne  Sellar 	1.1666666666666667	 ['Magnolia',  '  Boogie    Nights  '] 	2	2.0
 Michael  De  Luca 	1.793103448275862	 Steven  Paul 	2.0	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Billy  Ray 	2.111111111111111	 ['  Captain    Phillips  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Lope  V.  Juban  Jr. 	2.0	 ['  Thirteen    days  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Susanne  Bier 	3	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Jim  Sheridan 	3.0	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Matt  Battaglia 	3	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Jon  Feltheimer 	2.3333333333333335	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Jeremiah  Samuels 	1.8571428571428572	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Zach  Schiff-Abrams 	3.0	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Sigurjon  Sighvatsson 	1.3333333333333333	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Glenn  S.  Gainor 	2.3333333333333335	['Priest']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Jason  A.  Micallef 	3	['Butter']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Jim  Field  Smith 	3	['Butter']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Kelly  Carmichael 	2.75	['Butter']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Jennifer  Garner 	3	['Butter']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Juliana  Janes 	3	['Butter']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Ben  Ormand 	3.0	['Butter']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Alissa  Phillips 	2.0	 ['Moneyball',  'Butter'] 	2	2.0
 Michael  De  Luca 	1.793103448275862	 Bennett  Miller 	1.5	['Moneyball']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Paul  Greengrass 	1.0	 ['  Captain    Phillips  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Michael  Bronner 	0.5	 ['  Captain    Phillips  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Christopher  Rouse 	0.5	 ['  Captain    Phillips  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Aaron  Sorkin 	2.2	 ['  The    Social    Network  ',  'Moneyball'] 	2	1.0
 Michael  De  Luca 	1.793103448275862	 David  Gordon  Green 	1.4444444444444444	 ['  The    Sitter  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Lisa  Muskat 	2.0	 ['  The    Sitter  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Andrew  S.  Karsch 	2.0	['Moneyball']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Mark  Neveldine 	0.5	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Brian  Taylor 	0.42857142857142855	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 David  Rubin 	1.8	 ['  I    Am    Sam  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Roger  Donaldson 	2.0	 ['  Thirteen    days  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Mark  Steven  Johnson 	1.1666666666666667	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Gary  Foster 	1.2	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Alex  Proyas 	1.0	 ['  Dark    City  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Lem  Dobbs 	0.6666666666666666	 ['  Dark    City  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Andrew  Mason 	2.3636363636363638	 ['  Dark    City  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Scott  Stewart 	2.2857142857142856	['Priest']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Keith  Melton 	2.5	 ['  Fright    Night  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Manu  Gargi 	1.0	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Maya  Fukuzawa 	1.0	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Nicolas  Stern 	1.5	['Priest']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Paul  Deason 	2.0	 ['  Thirteen    days  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Steven  Zaillian 	1.625	['Moneyball']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Kelly  Marcel 	3.0	 ['  Fifty    Shades    of    Grey  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 E.L.  James 	3.0	 ['  Fifty    Shades    of    Grey  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Sam  Taylor-Johnson 	3	 ['  Fifty    Shades    of    Grey  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Jeb  Brody 	2.6	 ['  Fifty    Shades    of    Grey  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Marcus  Viscidi 	2.75	 ['  Fifty    Shades    of    Grey  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 David  Fincher 	1.7777777777777777	 ['  The    Social    Network  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Cean  Chaffin 	1.8571428571428572	 ['  The    Social    Network  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Peter  Billingsley 	1.5	 ['  Zathura:    A    Space    Adventure  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Mark  Bakshi 	1.8	['Moneyball']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Marti  Noxon 	2.0	 ['  Fright    Night  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Tom  Holland 	3	 ['  Fright    Night  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Craig  Gillespie 	2.3333333333333335	 ['  Fright    Night  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Josh  Bratman 	2.0	 ['  The    Sitter  ',  'Priest',  '  Fright    Night  ',  '  The    Love    Guru  '] 	4	2.0
 Michael  De  Luca 	1.793103448275862	 Michael  J.  Gaeta 	3	 ['  Fright    Night  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Lloyd  Ivan  Miller 	3	 ['  Fright    Night  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Alison  R.  Rosenzweig 	3	 ['  Fright    Night  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Andrew  Niccol 	1.7647058823529411	['S1m0ne']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Scott  M.  Gimple 	0	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Seth  Hoffman 	0	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Ari  Arad 	1.0	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Stefan  Brunner 	0.5	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 John  Kamps 	1.75	 ['  Zathura:    A    Space    Adventure  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Mary  Parent 	2.111111111111111	['Pleasantville']	1	3.0
 Michael  De  Luca 	1.793103448275862	 John  Cameron  Mitchell 	3.0	 ['  Hedwig    and    the    Angry    Inch  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Stephen  Trask 	3	 ['  Hedwig    and    the    Angry    Inch  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Amy  Henkels 	3	 ['  Hedwig    and    the    Angry    Inch  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Mark  Tusk 	3	 ['  Hedwig    and    the    Angry    Inch  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Kristine  Johnson 	3	 ['  I    Am    Sam  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Mace  Neufeld 	1.5	 ['  Lost    in    Space  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Shane  Black 	1.6666666666666667	 ['  The    Long    Kiss    Goodnight  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Donald  J.  Lee  Jr. 	2.4285714285714284	 ['  The    Sitter  ',  '  The    Love    Guru  '] 	2	2.0
 Michael  De  Luca 	1.793103448275862	 Chris  Van  Allsburg 	1.25	 ['  Zathura:    A    Space    Adventure  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 William  Teitler 	2.1666666666666665	 ['  Zathura:    A    Space    Adventure  '] 	1	0.0
