person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Alex  Kurtzman 	1.9	 Roberto  Orci 	1.8421052631578947	 ['  Amazing    Spider-Man    2  ',  '  Cowboys    &    Aliens  ',  '  People    Like    Us  ',  '  Eagle    Eye  ',  'Transformers',  '  Now    You    See    Me  ',  '  The    Island  ',  '  Transformers:    Revenge    of    the    Fallen  ',  '  The    Legend    of    Zorro  ',  '  Mission:    Impossible    III  ',  '  Star    Trek  ',  "  Ender's    Game  ",  '  Star    Trek    Into    Darkness  ',  '  The    Proposal  '] 	14	1.8571428571428572
 Alex  Kurtzman 	1.9	 J.J.  Abrams 	2.0	 ['  Star    Trek  ',  '  Mission:    Impossible    III  ',  '  Star    Trek    Into    Darkness  '] 	3	1.6666666666666667
 Alex  Kurtzman 	1.9	 Steven  Spielberg 	1.76	 ['  Cowboys    &    Aliens  ',  '  Eagle    Eye  ',  'Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  The    Legend    of    Zorro  '] 	5	1.8
 Alex  Kurtzman 	1.9	 Damon  Lindelof 	2.3333333333333335	 ['  Cowboys    &    Aliens  ',  '  Star    Trek  ',  '  Star    Trek    Into    Darkness  '] 	3	1.6666666666666667
 Roberto  Orci 	1.8421052631578947	 J.J.  Abrams 	2.0	 ['  Star    Trek  ',  '  Mission:    Impossible    III  ',  '  Star    Trek    Into    Darkness  '] 	3	1.6666666666666667
 Roberto  Orci 	1.8421052631578947	 Steven  Spielberg 	1.76	 ['  Cowboys    &    Aliens  ',  '  Eagle    Eye  ',  'Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  The    Legend    of    Zorro  '] 	5	1.8
 Roberto  Orci 	1.8421052631578947	 Damon  Lindelof 	2.3333333333333335	 ['  Cowboys    &    Aliens  ',  '  Star    Trek  ',  '  Star    Trek    Into    Darkness  '] 	3	1.6666666666666667
 Stan  Lee 	1.8666666666666667	 Steve  Ditko 	1.4	 ['  Amazing    Spider-Man    2  ',  '  The    Amazing    Spider-Man  ',  '  Spider-Man    2  ',  '  Spider-Man    3  ',  'Spider-Man'] 	5	1.4
 Stan  Lee 	1.8666666666666667	 Larry  Lieber 	2.8	 ['Thor',  'Ant-Man',  '  Iron    Man    2  ',  '  Thor:    The    Dark    World  ',  '  Iron    Man    3  '] 	5	2.8
 Stan  Lee 	1.8666666666666667	 Jack  Kirby 	2.2	 ['  Captain    America:    The    Winter    Soldier  ',  '  Avengers:    Age    of    Ultron  ',  'Thor',  'Ant-Man',  '  Captain    America:    The    First    Avenger  ',  '  Fantastic    Four  ',  '  Iron    Man    2  ',  '  Thor:    The    Dark    World  ',  '  Iron    Man    3  ',  '  Fantastic    Four  '] 	10	2.2
